gait number,px,py,pz,vx,vy,vz,ax,ay,az,
12,-0.484703,-0.908335,0.0418482,-1.50679,-2.9977,0.132585,0.173452,1.01875,1.11081,
12,-0.499689,-0.937766,0.0430009,-1.49037,-2.88863,0.236175,0.196549,1.30233,0.970334,
12,-0.514467,-0.965962,0.0451116,-1.46527,-2.75039,0.324203,0.350205,1.61352,0.793551,
12,-0.528927,-0.992628,0.0480191,-1.42672,-2.58293,0.395516,0.471078,1.89821,0.629566,
12,-0.542944,-1.01753,0.051532,-1.37658,-2.39768,0.445283,0.586255,1.97603,0.354272,
12,-0.556395,-1.04057,0.0553834,-1.3137,-2.21015,0.463229,0.730797,1.9446,-0.0191859,
12,-0.569142,-1.06174,0.0592199,-1.23567,-2.0228,0.442293,0.89525,1.97262,-0.438412,
12,-0.581041,-1.08097,0.0626633,-1.14405,-1.82499,0.384609,1.00773,2.15755,-0.768393,
12,-0.59198,-1.09814,0.0653813,-1.0438,-1.60849,0.297218,1.07141,2.35388,-1.04405,
12,-0.601905,-1.11307,0.067109,-0.941227,-1.37787,0.18655,1.05486,2.44526,-1.24294,
12,-0.610811,-1.12569,0.0676241,-0.840073,-1.14548,0.0546847,1.04257,2.3901,-1.47621,
12,-0.618719,-1.13603,0.0667373,-0.7415,-0.923353,-0.0938164,1.00223,2.23602,-1.58211,
12,-0.625666,-1.14425,0.0643579,-0.647897,-0.718876,-0.243829,0.941244,2.03023,-1.50702,
12,-0.631701,-1.15055,0.0606272,-0.5591,-0.542391,-0.364087,0.904262,1.66533,-0.975494,
12,-0.637,-1.15512,0.055781,-0.500736,-0.370594,-0.466941,0.320794,1.93466,-1.15221,
12,-0.641808,-1.15844,0.0499343,-0.460834,-0.294998,-0.564174,0.527859,-0.295978,-0.860887,
12,-0.646239,-1.16151,0.0436637,-0.425392,-0.319049,-0.551708,0.229874,-0.0968573,1.08425,
12,-0.650545,-1.16487,0.0381042,-0.435678,-0.351182,-0.421977,-0.40441,-0.460742,1.52984,
12,-0.654547,-1.16861,0.0335432,-0.364818,-0.39713,-0.351989,1.88424,-0.378518,-0.133741,
12,-0.657505,-1.17257,0.0292481,-0.226834,-0.395916,-0.368798,0.964055,0.500765,-0.23971,
12,-0.659397,-1.17627,0.0248302,-0.151442,-0.343361,-0.376564,0.608151,0.668196,0.050604,
12,-0.660694,-1.17923,0.0208473,-0.107963,-0.248842,-0.281784,0.313436,1.35629,1.85093,
12,-0.661578,-1.18098,0.0180926,-0.0689025,-0.100431,-0.130935,0.518064,1.76692,1.19372,
12,-0.662136,-1.18157,0.0163283,-0.0426203,-0.0190706,-0.0837046,0.0529262,-0.0106898,-0.261595,
12,-0.662552,-1.18174,0.0148102,-0.040601,-0.0148881,-0.0816846,0.0234065,0.193461,0.272003,
12,-0.66293,-1.18185,0.0133807,-0.0350097,-0.00574642,-0.0660029,0.125752,0.090413,0.0169305,
12,-0.663213,-1.18187,0.012056,-0.0216994,0.00134672,-0.0607106,0.180776,0.151697,0.0601896,
12,-0.663387,-1.18181,0.0107894,-0.0129982,0.0112146,-0.0543826,0.031784,0.146982,0.0380467,
12,-0.663505,-1.18166,0.00958592,-0.0106246,0.0189601,-0.0480833,0.051773,0.10843,0.0596051,
12,-0.663587,-1.18145,0.00845326,-0.00566938,0.022852,-0.040223,0.0844162,0.0684141,0.0698702,
12,-0.663608,-1.18122,0.00739865,0.00128999,0.0229773,-0.0324743,0.0926326,0.0316408,0.0573306,
12,-0.663565,-1.181,0.00641679,0.00744317,0.0205575,-0.0256727,0.0679802,0.0165266,0.0505612,
12,-0.663472,-1.18081,0.00549945,0.01115,0.0173581,-0.0195707,0.0427576,0.0157448,0.0430696,
12,-0.663352,-1.18065,0.00463908,0.0128528,0.0141302,-0.0142777,0.0271232,0.0159479,0.0340647,
12,-0.663222,-1.18052,0.00382756,0.0131079,0.011524,-0.00980061,0.0132445,0.0284183,0.0264369,
12,-0.6631,-1.18042,0.00305468,0.0113685,0.00987587,-0.00654956,-0.0135418,0.0354805,0.00906857,
12,-0.663001,-1.18032,0.00230828,0.00826443,0.00863921,-0.00450623,-0.0145754,0.0368073,0.00181481,
12,-0.662936,-1.18024,0.00157957,0.00489404,0.00750167,-0.00300917,-0.0189723,0.0375014,-0.00206841,
12,-0.6629,-1.18018,0.000863968,0.00215724,0.00597652,-0.00188701,-0.00165814,0.028905,-0.00582841,
13,0,0,0,0,0,0,0,0,0,
13,-7.70479e-06,-2.95495e-05,-0.000764445,-0.00154096,-0.0059099,0.00123586,0.0169844,0.0024498,-0.00633213,
13,-2.56783e-05,-0.000117917,-0.00151777,-0.00205374,-0.0117637,0.00222417,0.0209617,0.00114424,-0.005047,
