gait number,px,py,pz,vx,vy,vz,ax,ay,az,
2,0.358927,-0.681821,0.0459762,1.4529,-2.98189,-0.266678,-0.135039,-0.076239,0.450064,
2,0.373442,-0.711702,0.0427166,1.45016,-2.99441,-0.223051,-0.123121,0.0173526,0.473432,
2,0.387899,-0.74166,0.0398889,1.44127,-2.99715,-0.180277,-0.260542,0.123073,0.432658,
2,0.402226,-0.771597,0.0374964,1.42396,-2.99016,-0.136034,-0.294742,0.215788,0.5034,
2,0.416372,-0.801412,0.0355975,1.40529,-2.97281,-0.0815392,-0.288168,0.334253,0.64165,
2,0.430345,-0.830973,0.0343036,1.38939,-2.93944,-0.0150423,-0.238282,0.542511,0.748095,
2,0.444141,-0.86008,0.0337031,1.36982,-2.88194,0.0571577,-0.363018,0.826084,0.75792,
2,0.457675,-0.888447,0.0338267,1.33696,-2.79154,0.129764,-0.509366,1.21335,0.756384,
2,0.470831,-0.915717,0.0346717,1.29422,-2.6624,0.201423,-0.564246,1.61572,0.738594,
2,0.483526,-0.941513,0.036223,1.24476,-2.49677,0.271048,-0.646422,1.9575,0.714927,
2,0.495693,-0.965494,0.0384319,1.18856,-2.29943,0.332936,-0.70179,2.26213,0.580853,
2,0.507253,-0.987401,0.0411563,1.12349,-2.08204,0.374139,-0.827062,2.36603,0.293214,
2,0.518104,-1.00712,0.0441229,1.0467,-1.86149,0.381387,-0.940798,2.32683,-0.111389,
2,0.528161,-1.02467,0.0469813,0.964848,-1.64875,0.352497,-0.930352,2.20676,-0.443547,
2,0.537413,-1.04014,0.0493961,0.885363,-1.44617,0.292659,-0.892481,2.11952,-0.74235,
2,0.545889,-1.05365,0.0510654,0.809877,-1.25412,0.203396,-0.848814,1.99232,-1.04343,
2,0.55361,-1.06529,0.0516946,0.734464,-1.07556,0.0846571,-0.891,1.84431,-1.3433,
2,0.560557,-1.07523,0.0510301,0.654792,-0.912243,-0.0553686,-0.935645,1.68172,-1.47741,
2,0.566718,-1.08351,0.0489439,0.577379,-0.743236,-0.199663,-0.844946,1.96022,-1.43033,
2,0.572228,-1.09014,0.0454868,0.524775,-0.581791,-0.329564,-0.429856,1.52755,-1.18397,
2,0.577208,-1.09526,0.0408304,0.471175,-0.443793,-0.439498,-0.865233,1.48221,-1.02324,
2,0.581353,-1.09927,0.0353388,0.357913,-0.357507,-0.496631,-1.64622,0.47328,-0.107498,
2,0.584498,-1.1027,0.0299961,0.270974,-0.328232,-0.409697,-0.328567,0.319889,1.91389,
2,0.586993,-1.10593,0.0257093,0.22808,-0.317438,-0.285475,-0.74828,0.0965261,0.652712,
2,0.588898,-1.10903,0.022126,0.152845,-0.303914,-0.268978,-0.987883,0.375528,-0.282325,
2,0.590252,-1.11157,0.0189587,0.11805,-0.202788,-0.202288,0.0761582,1.88251,1.67601,
2,0.591287,-1.11282,0.0167152,0.0888056,-0.0483585,-0.0842123,-0.874716,1.46223,0.765281,
2,0.591936,-1.11312,0.0151589,0.0411068,-0.00995277,-0.064841,-0.300076,-0.482894,-0.336302,
2,0.592406,-1.11331,0.0136862,0.0528746,-0.0288002,-0.0674981,0.337651,0.294988,0.31618,
2,0.592913,-1.11348,0.0122746,0.0485446,-0.00525632,-0.0526215,-0.628268,0.381351,0.021162,
2,0.593256,-1.11342,0.0109652,0.0199761,0.016471,-0.0470535,-0.156506,0.257954,0.126403,
2,0.593453,-1.11321,0.00973713,0.0193974,0.0262871,-0.0363557,-0.057631,0.13851,0.125746,
2,0.59361,-1.11293,0.00861137,0.0121438,0.0300436,-0.0265957,-0.292592,0.134417,0.107284,
2,0.593657,-1.11262,0.00757992,-0.00287026,0.0320188,-0.017493,-0.215844,0.102195,0.112345,
2,0.593577,-1.1123,0.00663332,-0.0129927,0.0306005,-0.00962378,-0.192864,0.0652311,0.0821353,
2,0.593418,-1.11202,0.00575255,-0.0188724,0.0267271,-0.0043296,-0.129348,0.0521426,0.0598477,
2,0.593209,-1.11177,0.00491851,-0.0230347,0.0232619,-0.000276922,-0.157849,0.0735534,0.0568244,
2,0.592958,-1.11154,0.00411785,-0.0269916,0.0214542,0.00234695,-0.12516,0.085934,0.030718,
2,0.592686,-1.11134,0.00333705,-0.0274219,0.0202443,0.00369452,-0.0859512,0.0857413,0.0308042,
2,0.592429,-1.11114,0.00256637,-0.0240499,0.0182469,0.00437069,-0.0476434,0.0698784,0.0170296,
2,0.592218,-1.11098,0.00179577,-0.018179,0.0151887,0.00371218,-0.0350031,0.0641148,0.00359372,
2,0.592065,-1.11084,0.00101377,-0.0124052,0.0120356,0.00208767,-0.0496239,0.067944,-0.00266444,
3,0,0,0,0,0,0,0,0,0,
3,3.33344e-05,-2.12495e-05,-0.00121237,0.00666688,-0.0042499,0.00119747,-0.00318114,-0.0354162,0.0209267,
3,0.000117207,-9.10272e-05,-0.00240785,0.0101077,-0.00970565,0.00337899,-0.0657711,-0.0245844,0.020062,
3,0.000228142,-0.000218014,-0.00358399,0.0120793,-0.0156917,0.00506406,-0.0331348,-0.046228,0.0108057,
3,0.000375741,-0.000413517,-0.00474368,0.0174406,-0.0234088,0.00667021,0.00333766,-0.0598749,0.0184528,
3,0.000586898,-0.000682087,-0.00588364,0.0247907,-0.0303053,0.00900802,0.00741009,-0.0294985,0.0257223,
